AON,DORMANCY_DAY_CNT,UC_TOT_RVN_AMT,VAS_TOT_RVN_AMT,SBRP_TOT_RVN_AMT,VOICE_SBRP_TOT_RVN_AMT,VOICE_TOT_ONNET_OG_RVN_AMT,VOICE_TOT_OFFNET_OG_RVN_AMT,VOICE_TOT_ISD_OG_RVN_AMT,INTERCONNECT_RVN,DATA_SBRP_TOT_RVN_AMT,DATA_UC_TOT_RVN_AMT,VOICE_OG_TOT_USG,VOICE_IC_TOT_USG,DATA_TOT_USG_MB,RVN_AMT,RCHRG_FLAG
1665,0,1576.24,0,2854.2858,0,360,58.31,0,73.6666,2854.2858,1157.93,32.75,15.58333333,3834.544006,4490.5258,1
1665,0,347.22,0,951.4286,0,0,317.22,0,101.6666,951.4286,0,10.7,7.2,494.2354889,1298.6486,0
1664,2,1672.23,0,0,0,37.32,1634.91,0,172.75,0,0,54.86666667,14.43333333,0,1672.23,1
1663,7,0,0,0,0,0,0,0,0,0,0,0,30.25,0,0,0
1663,1,321.44,0,0,0,0,0,0,27.6667,0,321.44,0,1.383333333,30.7014513,321.44,1
1663,0,321.39,0,0,0,0,96.54,0,409.9168,0,224.85,3.55,25.85,22.52817917,378.53,1
1662,0,0,0,0,0,0,0,0,0,0,0,0,0.183333333,0.267493248,0,0
1662,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,4,0,353.72,0,0,0,0,0,0,0,0,0,0,0,353.72,0
1662,1,0,0,0,0,0,0,0,6.25,0,0,0,5.183333333,0,0,0
1661,0,2558.02,0,1664.7619,0,149.28,1068.22,0,400.6666,1664.7619,1340.52,37.36666667,23.98333333,1097.253771,4279.9219,1
1661,0,928.53,0,1521.9048,0,296,572.53,0,430.1666,1521.9048,0,41.38333333,38.1,10681.66781,2450.4348,1
1660,3,382.53,0,0,0,382.53,0,0,0,0,0,12.8,4.583333333,0,382.53,0
1660,0,354.54,0,0,0,233.25,121.29,0,339.2499,0,0,11.5,36.2,0,354.54,0
1660,0,394.52,857.14,760.9524,0,28,366.52,0,169.8333,760.9524,0,14.7,12.93333333,3820.615692,2012.6124,1
1660,0,952.37,0,952.381,0,0,952.37,0,1804.4167,952.381,0,215.8,168.8333333,0,1904.751,1
1660,0,2320.49,0,952.381,0,876,1266.16,0,1151.25,952.381,178.33,104,103.6333333,942.127655,3272.871,1
1660,0,305.32,183.66,618.0952,0,272,33.32,0,43.3333,618.0952,0,22.41666667,9.95,704.6844683,1107.0752,1
1660,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,3,133.33,300,0,0,0,133.33,0,0,0,0,4.25,0.683333333,0,490.47,1
1659,0,1219.99,0,0,0,0,634.44,0,159.0833,0,585.55,18.81666667,9.9,58.2329464,1219.99,1
1659,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,4,0,0,0,0,0,0,0,9.25,0,0,0,6.883333333,0,0,0
1658,0,37.22,0,0,0,0,33.32,0,34.75,0,3.9,1.133333333,3.733333333,0.411348343,37.22,0
1658,0,1657.1,2171.42,0,0,872.33,574.77,0,639.4165,0,0,80.51666667,205.3666667,0,3885.66,1
1658,0,1250.05,1584.71,1713.3334,0,941.84,308.21,0,1301.6667,1713.3334,0,158.9666667,127.1333333,2434.726421,4548.0934,1
1658,0,2049.81,428.57,0,0,76,277.55,0,173.9166,0,1696.26,14.31666667,55.96666667,168.9295111,2535.52,1
1658,0,2331.66,1350.48,0,0,1692,639.66,0,498.5,0,0,152.65,121.2,52.32794285,3682.14,1
1657,0,651.3,0,0,0,568,83.3,0,205,0,0,42.3,48.45,0,651.3,0
1657,0,751.68,0,0,0,167.94,298.56,0,349.9166,0,285.18,14.1,54.33333333,28.27393627,751.68,0
1657,0,1443.82,0,0,0,1019.03,424.79,0,69.5,0,0,95.61666667,43.83333333,0.00389576,1558.1,1
1656,0,864.53,1200,0,0,9.33,505.77,0,442.6668,0,349.43,15.4,24.23333333,34.80596256,2121.67,1
1656,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,0,1135.32,0,2585.7143,0,583.13,324.87,0,211.8333,2585.7143,122.32,53.63333333,32.61666667,9903.981047,3835.3143,1
1655,7,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
1655,9,1316.55,0,0,0,88.54,37.32,0,0,0,1190.69,4.083333333,1,118.7567663,1316.55,1
1655,0,3090.25,1225.21,2283.8096,0,1528.78,711.35,0,1175.4168,2283.8096,565.12,75.38333333,103.1,2010.432247,6770.6896,1
1655,0,10609.72,600,0,0,625.11,6782.91,0,2039.5,0,2856.7,236.25,134.3166667,283.1661072,11209.72,1
1655,4,0,0,0,0,0,0,0,0,0,0,0,2.233333333,0,0,0
1654,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654,0,205.26,0,0,0,186.6,18.66,0,0,0,0,6.35,10.71666667,0,205.26,0
1654,0,2968.93,1028.57,951.4286,0,345.21,121.29,0,277.9166,951.4286,2502.43,15.01666667,38.65,649.3993759,4948.9286,1
1654,0,251.91,300,0,0,0,251.91,0,149,0,0,8.4,13.35,0,551.91,1
1653,0,1231.56,0,0,0,373.2,858.36,0,467,0,0,40.33333333,36.75,0,1231.56,0
1653,0,0,0,0,0,0,0,0,269.25,0,0,0,19.73333333,0.001480103,0,0
1653,0,2269.13,0,0,0,233.25,760.26,0,1124.8334,0,1245.62,33.23333333,70.11666667,122.4793444,2326.27,1
1652,0,819.39,0,0,0,186.6,587.79,0,262.3333,0,0,23.81666667,20.61666667,0,819.39,0
1652,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
